timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-06-05,67.5,68.35,65.56,65.59,65.59,4566252,0.0000,1.0
2023-06-02,68.47,68.98,66.27,67.56,67.56,7027285,0.0000,1.0
2023-06-01,71.77,71.9575,67.8,68.03,68.03,9523540,0.0000,1.0
2023-05-31,79.23,80.81,72.6,72.89,72.89,21740511,0.0000,1.0
2023-05-30,112.34,112.57,110.25,112.2,112.2,2229367,0.0000,1.0
2023-05-26,110.92,112.2,109.7601,112.15,112.15,1443181,0.0000,1.0
2023-05-25,114.57,114.57,111.35,111.62,111.62,1301268,0.0000,1.0
2023-05-24,117.51,117.51,114.96,115.23,115.23,866464,0.0000,1.0
2023-05-23,117.61,118.99,115.77,116.78,116.78,1390637,0.0000,1.0
2023-05-22,118.23,119.87,117.7,119.44,119.44,1117314,0.0000,1.0
2023-05-19,120.61,121.23,117.09,117.41,117.41,962947,0.0000,1.0
2023-05-18,121.26,122.1076,119.29,121.48,121.48,737674,0.0000,1.0
2023-05-17,117.65,122.73,117.65,122.1,122.1,1190589,0.0000,1.0
2023-05-16,120.42,120.78,117.32,117.34,117.34,1016026,0.0000,1.0
2023-05-15,122.73,122.73,120.5,121.95,121.95,970716,0.0000,1.0
2023-05-12,124.71,124.71,121.62,122.86,122.86,755161,0.0000,1.0
2023-05-11,125.02,125.42,123.305,124.17,124.17,676407,0.0000,1.0
2023-05-10,127.31,127.31,124.595,125.8,125.8,751122,0.0000,1.0
2023-05-09,125.4,126.58,124.05,125.52,125.52,754450,0.0000,1.0
2023-05-08,123.95,125.91,122.85,125.75,125.75,868583,0.0000,1.0
2023-05-05,122.03,123.96,121.965,123.77,123.77,750297,0.0000,1.0
2023-05-04,123.34,123.675,120.22,120.24,120.24,1142769,0.0000,1.0
2023-05-03,124.49,126.275,123.79,123.8,123.8,1056797,0.0000,1.0
2023-05-02,125.78,125.78,121.68,124.12,124.12,858355,0.0000,1.0
2023-05-01,125.59,126.5056,125.19,125.47,125.47,652546,0.0000,1.0
2023-04-28,124.9,126.1,124.29,125.53,125.53,675129,0.0000,1.0
2023-04-27,121.8,125.07,121.8,124.9,124.9,833904,0.0000,1.0
2023-04-26,122.9,124.41,121.71,122.33,122.33,1167533,0.0000,1.0
2023-04-25,126.92,126.92,123.75,123.78,123.78,933930,0.0000,1.0
2023-04-24,127.73,128.0,125.91,126.83,126.83,816239,0.0000,1.0
2023-04-21,129.38,129.9,127.87,128.21,128.21,1142194,0.0000,1.0
