ticker,name,is_etf,exchange
"FSP","Franklin Street Properties Corp.","null","AMEX"
"FTF","Franklin Limited Duration Income Trust","null","AMEX"
"FTNW","FTE Networks, Inc.","null","AMEX"
"GBR","New Concept Energy, Inc","null","AMEX"
"GDP","Goodrich Petroleum Corporation","null","AMEX"
"GGN","GAMCO Global Gold, Natural Reources & Income Trust ","null","AMEX"
"GGN^B","GAMCO Global Gold, Natural Reources & Income Trust ","null","AMEX"
"GGO","The Gabelli Go Anywhere Trust","null","AMEX"
"GGO^A","The Gabelli Go Anywhere Trust","null","AMEX"
"GLO","Clough Global Opportunities Fund","null","AMEX"
"GLOW","Glowpoint, Inc.","null","AMEX"
"GLQ","Clough Global Equity Fund","null","AMEX"
"GLU","The Gabelli Global Utility and Income Trust","null","AMEX"
"GLU^A","The Gabelli Global Utility and Income Trust","null","AMEX"
"GLU^B","The Gabelli Global Utility and Income Trust","null","AMEX"
"GLV","Clough Global Dividend and Income Fund","null","AMEX"
"GMO","General Moly, Inc","null","AMEX"
"GORO","Gold Resource Corporation","null","AMEX"
"GPL","Great Panther Mining Limited","null","AMEX"
"GRF","Eagle Capital Growth Fund, Inc.","null","AMEX"
"GSAT","Globalstar, Inc.","null","AMEX"
"GSB","GlobalSCAPE, Inc.","null","AMEX"
"GSS","Golden Star Resources, Ltd","null","AMEX"
"GSV","Gold Standard Ventures Corporation","null","AMEX"
"GTE","Gran Tierra Energy Inc.","null","AMEX"
"GV","Goldfield Corporation (The)","null","AMEX"
"HLM^","Hillman Group Capital Trust","null","AMEX"
"HMG","HMG/Courtland Properties, Inc.","null","AMEX"
"HNW","Pioneer Diversified High Income Trust","null","AMEX"
"HUSA","Houston American Energy Corporation","null","AMEX"
"IAF","Aberdeen Australia Equity Fund Inc","null","AMEX"
"IBIO","iBio, Inc.","null","AMEX"
"IBO","IBO (Listing Market - NYSE Amex Network B F)","null","AMEX"
"IDN","Intellicheck, Inc.","null","AMEX"
"IEC","IEC Electronics Corp.","null","AMEX"
"IGC","India Globalization Capital Inc.","null","AMEX"
"IHT","InnSuites Hospitality Trust","null","AMEX"
"IMH","Impac Mortgage Holdings, Inc.","null","AMEX"
"IMO","Imperial Oil Limited","null","AMEX"
"INFU","InfuSystems Holdings, Inc.","null","AMEX"
"INS","Intelligent Systems Corporation","null","AMEX"
"INTT","inTest Corporation","null","AMEX"
"INUV","Inuvo, Inc","null","AMEX"
"IOR","Income Opportunity Realty Investors, Inc.","null","AMEX"
"IPB","Merrill Lynch & Co., Inc. 6.0518% Index Plus Trust Certificate","null","AMEX"
"ISDR","Issuer Direct Corporation","null","AMEX"
"ISR","IsoRay, Inc.","null","AMEX"
"ITP","IT Tech Packaging, Inc.","null","AMEX"
"JOB","GEE Group Inc.","null","AMEX"
"KIQ","Kelso Technologies Inc","null","AMEX"
"LBY","Libbey, Inc.","null","AMEX"
"LCTX","Lineage Cell Therapeutics, Inc.","null","AMEX"
"LEU","Centrus Energy Corp.","null","AMEX"
"LGL","LGL Group, Inc. (The)","null","AMEX"
"LLEX","Lilis Energy, Inc.","null","AMEX"
"LNG","Cheniere Energy, Inc.","null","AMEX"
"LODE","Comstock Mining, Inc.","null","AMEX"
"LOV","Spark Networks, Inc.","null","AMEX"
"LTS","Ladenburg Thalmann Financial Services Inc","null","AMEX"
"LTS^A","Ladenburg Thalmann Financial Services Inc","null","AMEX"
"LTSF","Ladenburg Thalmann Financial Services Inc.","null","AMEX"
"LTSH","Ladenburg Thalmann Financial Services Inc","null","AMEX"
"LTSK","Ladenburg Thalmann Financial Services Inc","null","AMEX"
"LTSL","Ladenburg Thalmann Financial Services Inc","null","AMEX"
"MAG","MAG Silver Corporation","null","AMEX"
"MCF","Contango Oil & Gas Company","null","AMEX"
"MHH","Mastech Digital, Inc","null","AMEX"
"MICR","Micron Solutions, Inc.","null","AMEX"
"MLSS","Milestone Scientific, Inc.","null","AMEX"
"MMX","Maverix Metals Inc.","null","AMEX"
"MNI","McClatchy Company (The)","null","AMEX"
"MRIC","MRI Interventions, Inc.","null","AMEX"
"MSN","Emerson Radio Corporation","null","AMEX"
"MTNB","Matinas Biopharma Holdings, Inc.","null","AMEX"
"MXC","Mexco Energy Corporation","null","AMEX"
"MYO","Myomo Inc.","null","AMEX"
"NAK","Northern Dynasty Minerals, Ltd.","null","AMEX"
"NAVB","Navidea Biopharmaceuticals, Inc.","null","AMEX"
"NBH","Neuberger Berman Municipal Fund Inc.","null","AMEX"
"NBO","Neuberger Berman New York Municipal Fund Inc.","null","AMEX"
"NBW","Neuberger Berman California Municipal Fund Inc","null","AMEX"
"NBY","NovaBay Pharmaceuticals, Inc.","null","AMEX"
"NEN","New England Realty Associates Limited Partnership","null","AMEX"
"NES","Nuverra Environmental Solutions, Inc.","null","AMEX"
"NG","Novagold Resources Inc.","null","AMEX"
"NGD","New Gold Inc.","null","AMEX"
"NHC","National HealthCare Corporation","null","AMEX"
"NHS","Neuberger Berman High Yield Strategies Fund","null","AMEX"
"NML","Neuberger Berman MLP and Energy Income Fund Inc.","null","AMEX"
"NNVC","NanoViricides, Inc.","null","AMEX"
"NOG","Northern Oil and Gas, Inc.","null","AMEX"
"NRCG","NRC Group Holdings Corp.","null","AMEX"
"NRCG.WS","NRC Group Holdings Corp.","null","AMEX"
"NRO","Neuberger Berman Real Estate Securities Income Fund, Inc.","null","AMEX"
"NSPR","InspireMD Inc.","null","AMEX"
"NSPR.WS","InspireMD Inc.","null","AMEX"
"NSPR.WS.B","InspireMD Inc.","null","AMEX"
"NTIP","Network-1 Technologies, Inc.","null","AMEX"
"NTN","NTN Buzztime, Inc.","null","AMEX"
"NXE","Nexgen Energy Ltd.","null","AMEX"
"OCX","OncoCyte Corporation","null","AMEX"
"OGEN","Oragenics Inc.","null","AMEX"
"PCG^A","Pacific Gas & Electric Co.","null","AMEX"
"PCG^B","Pacific Gas & Electric Co.","null","AMEX"
"PCG^C","Pacific Gas & Electric Co.","null","AMEX"
